■ 예제3 ? 제품 소개서 다국어 변환 실습용 제품 목록,,,,,,,,,,,
No,품목코드,제품명,카테고리,주요스펙,MOQ,단가(USD),인증,타겟시장,한국어소개,번역필요언어,우선순위
1,KE-92438,디스플레이,섬유,"규격:207mm, 중량:21kg, 전압:24V DC",4561,119,ISO 14001,터키,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,보통
2,KE-37840,IT장비,의료,"규격:362mm, 중량:30kg, 전압:220V",4440,718.4,"CE, RoHS",캐나다,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,낮음
3,KE-51635,식품가공기계,자동차,"규격:466mm, 중량:15kg, 전압:220V",3324,669.8,"KC, UL",스페인,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,높음
4,KE-82223,건축자재,기계,"규격:187mm, 중량:15kg, 전압:220V",2583,794.3,"KC, UL",싱가포르,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,보통
5,KE-31895,IT장비,IT,"규격:360mm, 중량:34kg, 전압:220V",1943,509.9,"ISO 9001, IATF",독일,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,긴급
6,KE-67795,자동차 부품,식품기계,"규격:315mm, 중량:34kg, 전압:24V DC",3586,245.1,"KC, UL",남아프리카,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,긴급
7,KE-72955,섬유/원단,화학,"규격:194mm, 중량:22kg, 전압:220V",3019,203,"ISO 9001, CE",UAE,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+아랍어,보통
8,KE-51511,IT장비,식품기계,"규격:394mm, 중량:47kg, 전압:24V DC",1104,503.7,"KC, CE, FCC",미국,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,보통
9,KE-34819,섬유/원단,전자,"규격:496mm, 중량:5kg, 전압:24V DC",3712,38.4,"ISO 9001, IATF",네덜란드,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,낮음
10,KE-69102,건축자재,자동차,"규격:487mm, 중량:46kg, 전압:110V",699,218.6,"CE, T?V",일본,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,보통
11,KE-24291,포장재,섬유,"규격:277mm, 중량:2kg, 전압:110V",335,86.4,"FDA, CE",중국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,높음
12,KE-39488,디스플레이,화학,"규격:349mm, 중량:10kg, 전압:24V DC",4918,643.1,"FDA, CE",인도,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,보통
13,KE-89908,전자부품,자동차,"규격:187mm, 중량:30kg, 전압:110V",2239,328.3,"ISO 9001, IATF",인도,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,긴급
14,KE-84896,IT장비,전자,"규격:186mm, 중량:8kg, 전압:110V",1027,105.3,"CE, T?V",스페인,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,높음
15,KE-31118,섬유/원단,IT,"규격:299mm, 중량:32kg, 전압:220V",4290,538.3,"ISO 9001, CE",사우디아라비아,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,보통
16,KE-97637,금속 가공품,섬유,"규격:232mm, 중량:38kg, 전압:110V",1219,209.5,"CE, T?V",스페인,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,낮음
17,KE-38585,디스플레이,기계,"규격:463mm, 중량:46kg, 전압:110V",159,235.6,"KC, CE, FCC",폴란드,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,보통
18,KE-45261,LED 조명,IT,"규격:237mm, 중량:3kg, 전압:24V DC",3010,790.4,"CE, RoHS",영국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+아랍어,낮음
19,KE-92203,공구세트,전자,"규격:141mm, 중량:7kg, 전압:24V DC",1702,496.2,"CE, T?V",사우디아라비아,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,낮음
20,KE-85533,의료기기,전자,"규격:454mm, 중량:43kg, 전압:24V DC",1455,30.2,"CE, RoHS",터키,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,보통
21,KE-85881,식품가공기계,기계,"규격:251mm, 중량:21kg, 전압:24V DC",3302,359.6,"FDA, CE",캐나다,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,낮음
22,KE-84996,공구세트,IT,"규격:429mm, 중량:24kg, 전압:110V",3427,227.1,"KC, CE, FCC",멕시코,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,긴급
23,KE-74844,섬유/원단,의료,"규격:180mm, 중량:45kg, 전압:110V",4204,789.4,"KC, CE, FCC",폴란드,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,긴급
24,KE-91163,스마트 가전,IT,"규격:178mm, 중량:16kg, 전압:110V",1927,243.3,"CE, T?V",남아프리카,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+프랑스어,긴급
25,KE-74675,반도체 부품,의료,"규격:494mm, 중량:9kg, 전압:110V",3682,787.1,"CE, RoHS",남아프리카,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+프랑스어,긴급
26,KE-80596,포장재,화학,"규격:368mm, 중량:37kg, 전압:110V",1860,44.6,ISO 14001,네덜란드,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+아랍어,긴급
27,KE-83739,산업용 센서,화학,"규격:482mm, 중량:12kg, 전압:110V",2481,791.8,"FDA, CE",미국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,낮음
28,KE-37386,화장품,섬유,"규격:474mm, 중량:50kg, 전압:110V",3475,375.2,"KC, UL",브라질,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+아랍어,높음
29,KE-40810,의료기기,전자,"규격:422mm, 중량:24kg, 전압:24V DC",192,497.8,"CE, RoHS",네덜란드,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,보통
30,KE-90554,화학원료,의료,"규격:251mm, 중량:7kg, 전압:110V",3740,412.6,"FDA, CE",스페인,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,낮음
31,KE-53107,태양광 패널,화학,"규격:237mm, 중량:45kg, 전압:24V DC",3436,585.1,"ISO 9001, CE",멕시코,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어,낮음
32,KE-40651,플라스틱 부품,IT,"규격:234mm, 중량:28kg, 전압:110V",879,604.3,"ISO 9001, CE",이탈리아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+중국어,긴급
33,KE-37006,포장재,자동차,"규격:332mm, 중량:11kg, 전압:220V",1475,356,"KC, CE, FCC",네덜란드,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어,높음
34,KE-21181,식품가공기계,IT,"규격:108mm, 중량:7kg, 전압:220V",4823,757.6,ISO 14001,영국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+일어+중국어,낮음
35,KE-57958,전자부품,의료,"규격:405mm, 중량:24kg, 전압:24V DC",1583,738.3,"CE, RoHS",프랑스,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,낮음
36,KE-71109,LED 조명,식품기계,"규격:309mm, 중량:49kg, 전압:220V",3562,415.9,"KC, CE, FCC",미국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,긴급
37,KE-69658,반도체 부품,화학,"규격:321mm, 중량:21kg, 전압:24V DC",150,146,ISO 14001,네덜란드,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,긴급
38,KE-54307,섬유/원단,IT,"규격:158mm, 중량:24kg, 전압:24V DC",2444,180.8,ISO 14001,인도,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,낮음
39,KE-32658,반도체 부품,기계,"규격:132mm, 중량:34kg, 전압:110V",2557,54.1,"ISO 9001, IATF",인도네시아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,높음
40,KE-22826,산업용 센서,화학,"규격:485mm, 중량:6kg, 전압:110V",2118,32.3,"ISO 9001, CE",캐나다,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,높음
41,KE-77036,건축자재,화학,"규격:162mm, 중량:41kg, 전압:220V",1265,73,"FDA, CE",미국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+프랑스어,높음
42,KE-56726,반도체 부품,섬유,"규격:191mm, 중량:32kg, 전압:110V",4737,757.5,"KC, UL",브라질,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+독일어,보통
43,KE-29173,IT장비,전자,"규격:277mm, 중량:35kg, 전압:110V",414,186.6,"ISO 9001, IATF",인도네시아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,보통
44,KE-84467,산업용 센서,식품기계,"규격:457mm, 중량:32kg, 전압:220V",2100,323.4,ISO 14001,인도,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+독일어,높음
45,KE-74235,디스플레이,섬유,"규격:185mm, 중량:31kg, 전압:220V",2645,402.1,"FDA, CE",남아프리카,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,낮음
46,KE-58724,포장재,의료,"규격:245mm, 중량:4kg, 전압:24V DC",2826,473.4,"KC, CE, FCC",캐나다,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+프랑스어,낮음
47,KE-23613,산업용 센서,기계,"규격:200mm, 중량:33kg, 전압:110V",4560,362.6,ISO 14001,일본,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+프랑스어,긴급
48,KE-95055,섬유/원단,전자,"규격:116mm, 중량:49kg, 전압:220V",2605,637.9,"FDA, CE",아르헨티나,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,긴급
49,KE-67967,스마트 가전,화학,"규격:134mm, 중량:29kg, 전압:220V",2412,133,"KC, UL",스페인,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,낮음
50,KE-70676,공구세트,자동차,"규격:420mm, 중량:1kg, 전압:220V",3852,267.9,"ISO 9001, CE",중국,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,낮음
51,KE-14378,화학원료,자동차,"규격:367mm, 중량:50kg, 전압:24V DC",352,257.7,"CE, RoHS",폴란드,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,보통
52,KE-69750,금속 가공품,자동차,"규격:417mm, 중량:3kg, 전압:220V",277,475.6,"ISO 9001, IATF",UAE,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+아랍어,낮음
53,KE-89408,자동차 부품,식품기계,"규격:119mm, 중량:29kg, 전압:220V",547,576.6,"KC, CE, FCC",멕시코,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,긴급
54,KE-42887,자동차 부품,전자,"규격:258mm, 중량:27kg, 전압:220V",724,224.2,"CE, RoHS",남아프리카,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,보통
55,KE-53978,태양광 패널,자동차,"규격:309mm, 중량:30kg, 전압:220V",828,636.4,"CE, T?V",네덜란드,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,낮음
56,KE-13526,IT장비,식품기계,"규격:486mm, 중량:3kg, 전압:220V",1213,642.4,"CE, T?V",폴란드,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어,낮음
57,KE-54373,공구세트,의료,"규격:408mm, 중량:28kg, 전압:24V DC",743,328.5,"CE, T?V",아르헨티나,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,높음
58,KE-69165,스마트 가전,의료,"규격:160mm, 중량:6kg, 전압:24V DC",2512,253.4,"ISO 9001, CE",호주,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+중국어,높음
59,KE-62237,자동차 부품,전자,"규격:471mm, 중량:34kg, 전압:220V",2306,288.2,ISO 14001,중국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+독일어,낮음
60,KE-23486,금속 가공품,식품기계,"규격:362mm, 중량:19kg, 전압:110V",709,619,"KC, UL",일본,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+중국어,긴급
61,KE-93078,LED 조명,의료,"규격:195mm, 중량:41kg, 전압:24V DC",2864,135.2,"ISO 9001, IATF",이탈리아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,높음
62,KE-88141,산업용 센서,건축,"규격:194mm, 중량:33kg, 전압:24V DC",4050,270.2,"CE, RoHS",싱가포르,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+독일어,보통
63,KE-79314,화학원료,IT,"규격:353mm, 중량:12kg, 전압:24V DC",731,22.7,"ISO 9001, IATF",스페인,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,긴급
64,KE-77077,반도체 부품,섬유,"규격:377mm, 중량:40kg, 전압:24V DC",2371,69.5,"FDA, CE",영국,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,보통
65,KE-82429,전자부품,자동차,"규격:146mm, 중량:30kg, 전압:110V",2026,67,"CE, T?V",태국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+프랑스어,긴급
66,KE-14687,IT장비,전자,"규격:128mm, 중량:12kg, 전압:220V",4399,438.3,"ISO 9001, IATF",중국,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+아랍어,긴급
67,KE-74389,식품가공기계,섬유,"규격:397mm, 중량:25kg, 전압:24V DC",2217,597.7,"ISO 9001, IATF",UAE,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,보통
68,KE-88917,화장품,화학,"규격:249mm, 중량:22kg, 전압:220V",2155,657.9,"FDA, CE",네덜란드,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+아랍어,보통
69,KE-20749,화장품,전자,"규격:357mm, 중량:29kg, 전압:220V",1650,557.7,"CE, RoHS",독일,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,높음
70,KE-71229,전자부품,전자,"규격:238mm, 중량:34kg, 전압:110V",913,632.6,"CE, T?V",브라질,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+중국어,긴급
71,KE-26140,태양광 패널,화학,"규격:450mm, 중량:31kg, 전압:220V",4493,50.1,"KC, CE, FCC",캐나다,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,높음
72,KE-66793,IT장비,섬유,"규격:405mm, 중량:28kg, 전압:110V",967,239.8,"CE, T?V",남아프리카,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+독일어,높음
73,KE-48528,화장품,건축,"규격:340mm, 중량:1kg, 전압:110V",3456,524.8,"ISO 9001, IATF",폴란드,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어,보통
74,KE-94068,화장품,기계,"규격:219mm, 중량:6kg, 전압:220V",183,459.5,ISO 14001,남아프리카,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어,긴급
75,KE-52342,배터리,IT,"규격:117mm, 중량:19kg, 전압:110V",3833,642.4,"ISO 9001, CE",베트남,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,보통
76,KE-44631,화장품,기계,"규격:474mm, 중량:43kg, 전압:110V",4741,382.7,"CE, RoHS",브라질,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+독일어,낮음
77,KE-26939,배터리,의료,"규격:437mm, 중량:32kg, 전압:110V",3207,443.3,"CE, T?V",브라질,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+독일어,낮음
78,KE-89239,화장품,의료,"규격:352mm, 중량:33kg, 전압:24V DC",2331,187,"KC, CE, FCC",사우디아라비아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,보통
79,KE-62058,자동차 부품,섬유,"규격:271mm, 중량:3kg, 전압:24V DC",1815,414.7,"FDA, CE",인도,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어,긴급
80,KE-66963,LED 조명,건축,"규격:121mm, 중량:40kg, 전압:220V",2014,771.2,"CE, RoHS",말레이시아,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어,낮음
81,KE-36795,화장품,화학,"규격:298mm, 중량:20kg, 전압:220V",957,31.5,"KC, UL",인도,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,보통
82,KE-81949,전자부품,자동차,"규격:340mm, 중량:9kg, 전압:220V",3027,388.1,"CE, T?V",프랑스,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+일어+중국어,낮음
83,KE-90087,반도체 부품,의료,"규격:446mm, 중량:43kg, 전압:110V",4982,700.8,"ISO 9001, IATF",일본,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+아랍어,보통
84,KE-84574,건축자재,기계,"규격:362mm, 중량:8kg, 전압:220V",1151,235.2,"CE, T?V",싱가포르,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,높음
85,KE-34819,IT장비,자동차,"규격:199mm, 중량:17kg, 전압:24V DC",4270,182.2,"ISO 9001, CE",사우디아라비아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,긴급
86,KE-67699,공구세트,기계,"규격:138mm, 중량:7kg, 전압:24V DC",1502,765.4,"KC, CE, FCC",스페인,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,낮음
87,KE-75484,식품가공기계,의료,"규격:365mm, 중량:16kg, 전압:220V",1906,564.7,"CE, T?V",호주,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어,높음
88,KE-39545,자동차 부품,건축,"규격:335mm, 중량:17kg, 전압:24V DC",2136,220.1,"CE, RoHS",아르헨티나,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,보통
89,KE-30136,금속 가공품,IT,"규격:379mm, 중량:38kg, 전압:110V",2421,261.8,ISO 14001,터키,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,낮음
90,KE-81038,태양광 패널,섬유,"규격:384mm, 중량:12kg, 전압:24V DC",2176,647.4,"CE, RoHS",이탈리아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,높음
91,KE-96199,금속 가공품,섬유,"규격:326mm, 중량:22kg, 전압:110V",3590,230.8,ISO 14001,UAE,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+아랍어,보통
92,KE-40818,반도체 부품,자동차,"규격:381mm, 중량:2kg, 전압:220V",4212,5.8,"ISO 9001, IATF",아르헨티나,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,높음
93,KE-64084,포장재,전자,"규격:411mm, 중량:15kg, 전압:220V",2669,784.6,"ISO 9001, CE",독일,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,긴급
94,KE-11529,자동차 부품,기계,"규격:131mm, 중량:30kg, 전압:110V",2628,789.7,"ISO 9001, CE",멕시코,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,긴급
95,KE-54846,의료기기,식품기계,"규격:135mm, 중량:14kg, 전압:110V",1612,159.8,"CE, RoHS",영국,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+프랑스어,낮음
96,KE-21471,공구세트,섬유,"규격:216mm, 중량:12kg, 전압:220V",1933,407.1,"ISO 9001, IATF",말레이시아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+독일어,긴급
97,KE-79743,산업용 센서,섬유,"규격:456mm, 중량:46kg, 전압:110V",4335,618.3,"ISO 9001, CE",인도,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+스페인어,긴급
98,KE-66096,산업용 센서,기계,"규격:393mm, 중량:46kg, 전압:220V",2830,211.8,ISO 14001,아르헨티나,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+일어+중국어,긴급
99,KE-25609,섬유/원단,섬유,"규격:171mm, 중량:26kg, 전압:110V",1333,251.7,"CE, RoHS",인도네시아,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,보통
100,KE-82775,배터리,화학,"규격:259mm, 중량:12kg, 전압:110V",1695,430.3,"ISO 9001, CE",말레이시아,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,높음
101,KE-46841,산업용 센서,섬유,"규격:451mm, 중량:24kg, 전압:220V",283,462.1,"FDA, CE",말레이시아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,높음
102,KE-31813,디스플레이,건축,"규격:273mm, 중량:15kg, 전압:110V",3124,279.6,"FDA, CE",싱가포르,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+아랍어,낮음
103,KE-82778,금속 가공품,자동차,"규격:140mm, 중량:20kg, 전압:110V",2036,36.1,"ISO 9001, CE",UAE,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,보통
104,KE-22331,화학원료,전자,"규격:319mm, 중량:34kg, 전압:220V",653,419.5,ISO 14001,영국,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+독일어,긴급
105,KE-58879,태양광 패널,건축,"규격:356mm, 중량:11kg, 전압:24V DC",2891,616.5,ISO 14001,인도네시아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,긴급
106,KE-11075,플라스틱 부품,기계,"규격:253mm, 중량:6kg, 전압:220V",2147,789.9,ISO 14001,영국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+독일어,낮음
107,KE-92300,식품가공기계,식품기계,"규격:179mm, 중량:45kg, 전압:24V DC",722,182.9,ISO 14001,미국,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,높음
108,KE-69568,태양광 패널,식품기계,"규격:387mm, 중량:41kg, 전압:110V",3550,666.6,ISO 14001,이탈리아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어,낮음
109,KE-23700,태양광 패널,화학,"규격:123mm, 중량:24kg, 전압:110V",4690,553,ISO 14001,네덜란드,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+독일어,보통
110,KE-67631,포장재,섬유,"규격:496mm, 중량:37kg, 전압:110V",334,631,"KC, UL",터키,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,낮음
111,KE-95393,금속 가공품,의료,"규격:193mm, 중량:7kg, 전압:220V",1785,18,ISO 14001,베트남,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+중국어,보통
112,KE-73592,LED 조명,전자,"규격:461mm, 중량:7kg, 전압:110V",1882,224.4,"CE, T?V",베트남,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,높음
113,KE-26923,건축자재,IT,"규격:427mm, 중량:44kg, 전압:110V",1993,412.6,"ISO 9001, IATF",베트남,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+독일어,보통
114,KE-20602,스마트 가전,식품기계,"규격:310mm, 중량:1kg, 전압:24V DC",1870,49.8,"KC, CE, FCC",호주,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,낮음
115,KE-53940,의료기기,화학,"규격:258mm, 중량:50kg, 전압:220V",3731,720.4,"FDA, CE",태국,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+독일어,낮음
116,KE-22736,스마트 가전,기계,"규격:382mm, 중량:8kg, 전압:110V",404,265.1,"ISO 9001, CE",인도네시아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,보통
117,KE-50492,스마트 가전,의료,"규격:394mm, 중량:2kg, 전압:24V DC",3170,533.4,"CE, T?V",스페인,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,높음
118,KE-14866,플라스틱 부품,식품기계,"규격:339mm, 중량:38kg, 전압:110V",2603,268.4,"FDA, CE",말레이시아,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+프랑스어,긴급
119,KE-14759,의료기기,기계,"규격:265mm, 중량:31kg, 전압:220V",4897,146,"CE, RoHS",브라질,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+아랍어,높음
120,KE-26441,전자부품,섬유,"규격:482mm, 중량:10kg, 전압:24V DC",2147,75.6,"KC, UL",캐나다,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,긴급
121,KE-44935,전자부품,건축,"규격:386mm, 중량:1kg, 전압:110V",2569,404.8,"FDA, CE",브라질,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+프랑스어,보통
122,KE-63093,식품가공기계,자동차,"규격:215mm, 중량:27kg, 전압:110V",719,587,"FDA, CE",호주,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,보통
123,KE-25884,스마트 가전,섬유,"규격:297mm, 중량:48kg, 전압:110V",2825,109.7,"FDA, CE",스페인,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+독일어,낮음
124,KE-34101,화학원료,화학,"규격:405mm, 중량:48kg, 전압:24V DC",3474,420.1,"ISO 9001, IATF",남아프리카,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,높음
125,KE-53751,자동차 부품,섬유,"규격:179mm, 중량:5kg, 전압:24V DC",3794,33.5,"ISO 9001, IATF",미국,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어,보통
