■ 예제3 ? 제품 소개서 다국어 변환 실습용 제품 목록,,,,,,,,,,,
126,KE-24159,산업용 센서,전자,"규격:362mm, 중량:24kg, 전압:220V",4901,84.8,"CE, RoHS",멕시코,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,보통
127,KE-43249,플라스틱 부품,기계,"규격:485mm, 중량:23kg, 전압:220V",2663,122.2,"CE, T?V",폴란드,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,높음
128,KE-55424,식품가공기계,섬유,"규격:261mm, 중량:50kg, 전압:110V",2232,46.2,"ISO 9001, IATF",멕시코,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,긴급
129,KE-61709,디스플레이,화학,"규격:389mm, 중량:1kg, 전압:110V",2231,494.5,"ISO 9001, IATF",호주,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+중국어,낮음
130,KE-16159,자동차 부품,전자,"규격:254mm, 중량:27kg, 전압:220V",1147,106,"KC, UL",베트남,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,높음
131,KE-66294,산업용 센서,전자,"규격:255mm, 중량:26kg, 전압:220V",1720,478.7,ISO 14001,독일,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,긴급
132,KE-31257,배터리,자동차,"규격:187mm, 중량:4kg, 전압:110V",2812,530,"KC, CE, FCC",인도네시아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,긴급
133,KE-33487,전자부품,전자,"규격:397mm, 중량:33kg, 전압:110V",3075,591.7,"ISO 9001, IATF",네덜란드,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,보통
134,KE-21655,디스플레이,화학,"규격:307mm, 중량:38kg, 전압:220V",4604,145.6,ISO 14001,남아프리카,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,보통
135,KE-83666,식품가공기계,화학,"규격:233mm, 중량:41kg, 전압:110V",2609,574.9,"KC, UL",영국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,보통
136,KE-22809,금속 가공품,섬유,"규격:324mm, 중량:22kg, 전압:110V",4486,105.5,"KC, CE, FCC",이탈리아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,낮음
137,KE-99447,건축자재,건축,"규격:340mm, 중량:27kg, 전압:220V",3836,150.8,"FDA, CE",UAE,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+스페인어,보통
138,KE-53644,건축자재,화학,"규격:164mm, 중량:17kg, 전압:110V",1095,118,"KC, UL",말레이시아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,높음
139,KE-85075,디스플레이,섬유,"규격:331mm, 중량:35kg, 전압:110V",2342,194.1,"CE, T?V",중국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,긴급
140,KE-85195,자동차 부품,자동차,"규격:300mm, 중량:28kg, 전압:220V",1541,316.4,"FDA, CE",아르헨티나,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,긴급
141,KE-53114,플라스틱 부품,전자,"규격:415mm, 중량:28kg, 전압:220V",3903,22,"CE, RoHS",UAE,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,긴급
142,KE-66081,디스플레이,전자,"규격:368mm, 중량:30kg, 전압:24V DC",1033,129,"FDA, CE",UAE,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+스페인어,낮음
143,KE-88384,반도체 부품,화학,"규격:220mm, 중량:39kg, 전압:24V DC",211,88,"KC, CE, FCC",독일,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,보통
144,KE-81591,식품가공기계,전자,"규격:228mm, 중량:12kg, 전압:24V DC",4418,722,ISO 14001,미국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,긴급
145,KE-61848,반도체 부품,기계,"규격:125mm, 중량:46kg, 전압:110V",2648,729.6,"CE, T?V",미국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,높음
146,KE-56557,공구세트,자동차,"규격:381mm, 중량:41kg, 전압:110V",1945,511.2,"CE, T?V",태국,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,보통
147,KE-47696,공구세트,전자,"규격:345mm, 중량:27kg, 전압:110V",1499,243.6,"FDA, CE",이탈리아,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,긴급
148,KE-56704,전자부품,의료,"규격:254mm, 중량:12kg, 전압:220V",781,675.5,"ISO 9001, CE",네덜란드,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,긴급
149,KE-84591,포장재,건축,"규격:199mm, 중량:15kg, 전압:110V",3661,693.4,"FDA, CE",베트남,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,긴급
150,KE-54368,태양광 패널,전자,"규격:291mm, 중량:35kg, 전압:110V",3915,305,"ISO 9001, CE",중국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어,긴급
151,KE-85934,식품가공기계,기계,"규격:329mm, 중량:23kg, 전압:24V DC",4450,322.6,"ISO 9001, IATF",인도네시아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,낮음
152,KE-16303,LED 조명,식품기계,"규격:238mm, 중량:27kg, 전압:110V",5000,248.5,"ISO 9001, CE",일본,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,긴급
153,KE-65200,화장품,기계,"규격:205mm, 중량:43kg, 전압:24V DC",3372,473.6,"ISO 9001, CE",멕시코,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,긴급
154,KE-68687,스마트 가전,화학,"규격:185mm, 중량:4kg, 전압:110V",3820,218.8,"FDA, CE",미국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,보통
155,KE-25434,식품가공기계,기계,"규격:290mm, 중량:20kg, 전압:24V DC",1045,499.7,"CE, RoHS",이탈리아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,높음
156,KE-23079,공구세트,IT,"규격:198mm, 중량:23kg, 전압:24V DC",3000,760.7,"ISO 9001, IATF",독일,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+일어+중국어,높음
157,KE-52786,IT장비,IT,"규격:475mm, 중량:10kg, 전압:110V",4859,125.5,"FDA, CE",태국,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,높음
158,KE-87250,플라스틱 부품,화학,"규격:124mm, 중량:32kg, 전압:110V",3427,249.8,ISO 14001,싱가포르,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어,긴급
159,KE-67796,스마트 가전,기계,"규격:139mm, 중량:30kg, 전압:110V",2764,93.8,"FDA, CE",호주,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,보통
160,KE-39068,배터리,기계,"규격:200mm, 중량:27kg, 전압:110V",3474,559.9,"CE, RoHS",사우디아라비아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,낮음
161,KE-98491,반도체 부품,의료,"규격:450mm, 중량:14kg, 전압:24V DC",1904,792,ISO 14001,프랑스,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,높음
162,KE-56699,화장품,화학,"규격:286mm, 중량:9kg, 전압:110V",3809,119.1,"CE, RoHS",미국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어,보통
163,KE-94641,화학원료,전자,"규격:202mm, 중량:45kg, 전압:110V",4919,7,"ISO 9001, CE",호주,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+독일어,낮음
164,KE-13532,공구세트,식품기계,"규격:193mm, 중량:31kg, 전압:220V",2095,38.3,"CE, T?V",말레이시아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,긴급
165,KE-28446,공구세트,전자,"규격:146mm, 중량:4kg, 전압:24V DC",4421,491.9,"ISO 9001, CE",중국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+아랍어,높음
166,KE-63905,섬유/원단,화학,"규격:116mm, 중량:37kg, 전압:24V DC",2609,398.3,"CE, RoHS",네덜란드,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,낮음
167,KE-41386,공구세트,식품기계,"규격:462mm, 중량:50kg, 전압:24V DC",2598,162.7,"FDA, CE",미국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+독일어,낮음
168,KE-69735,디스플레이,의료,"규격:151mm, 중량:26kg, 전압:220V",3138,203.1,"ISO 9001, CE",중국,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,낮음
169,KE-58707,금속 가공품,섬유,"규격:146mm, 중량:3kg, 전압:110V",4172,112.9,"CE, T?V",중국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,긴급
170,KE-19039,자동차 부품,기계,"규격:327mm, 중량:2kg, 전압:110V",2663,509.3,ISO 14001,일본,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+프랑스어,높음
171,KE-26966,공구세트,IT,"규격:221mm, 중량:36kg, 전압:220V",1358,185.4,"KC, UL",인도네시아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,높음
172,KE-47876,태양광 패널,기계,"규격:144mm, 중량:28kg, 전압:110V",1351,715.4,"KC, CE, FCC",남아프리카,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,보통
173,KE-47806,섬유/원단,IT,"규격:174mm, 중량:14kg, 전압:24V DC",4019,333,"CE, RoHS",독일,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어,높음
174,KE-37905,IT장비,건축,"규격:266mm, 중량:31kg, 전압:110V",1943,40.7,"ISO 9001, CE",프랑스,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,보통
175,KE-54584,건축자재,식품기계,"규격:304mm, 중량:48kg, 전압:24V DC",2549,452.6,ISO 14001,프랑스,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어,긴급
176,KE-40017,배터리,식품기계,"규격:361mm, 중량:45kg, 전압:24V DC",240,488,"ISO 9001, IATF",인도네시아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+스페인어,낮음
177,KE-75288,금속 가공품,기계,"규격:250mm, 중량:9kg, 전압:110V",190,345.7,"CE, RoHS",인도네시아,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+중국어,높음
178,KE-80152,플라스틱 부품,화학,"규격:148mm, 중량:20kg, 전압:220V",830,769.5,"CE, T?V",멕시코,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,긴급
179,KE-45278,화장품,건축,"규격:122mm, 중량:39kg, 전압:110V",1911,781.3,ISO 14001,호주,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+아랍어,높음
180,KE-57047,IT장비,IT,"규격:229mm, 중량:17kg, 전압:24V DC",3942,189.6,"KC, CE, FCC",독일,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+중국어,높음
181,KE-45053,반도체 부품,건축,"규격:223mm, 중량:24kg, 전압:110V",4173,480.3,"KC, UL",독일,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,낮음
182,KE-57412,섬유/원단,의료,"규격:374mm, 중량:30kg, 전압:110V",1519,96.4,"ISO 9001, CE",멕시코,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,긴급
183,KE-26778,자동차 부품,IT,"규격:206mm, 중량:39kg, 전압:24V DC",1727,329.4,"CE, T?V",영국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,보통
184,KE-52552,섬유/원단,화학,"규격:324mm, 중량:12kg, 전압:110V",498,633.6,"KC, UL",중국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+스페인어,낮음
185,KE-16285,금속 가공품,자동차,"규격:267mm, 중량:20kg, 전압:24V DC",3899,437.7,"ISO 9001, CE",프랑스,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+독일어,긴급
186,KE-98742,반도체 부품,섬유,"규격:475mm, 중량:42kg, 전압:220V",3084,412.8,"KC, CE, FCC",독일,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,높음
187,KE-30650,산업용 센서,기계,"규격:380mm, 중량:27kg, 전압:110V",4638,362.9,"ISO 9001, CE",사우디아라비아,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,긴급
188,KE-90207,화장품,IT,"규격:246mm, 중량:16kg, 전압:24V DC",3201,275.5,"CE, T?V",일본,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,낮음
189,KE-65123,배터리,화학,"규격:197mm, 중량:5kg, 전압:220V",2599,281.6,"FDA, CE",멕시코,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,보통
190,KE-88174,IT장비,건축,"규격:221mm, 중량:13kg, 전압:220V",573,177.4,"KC, UL",독일,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,높음
191,KE-66409,의료기기,의료,"규격:179mm, 중량:2kg, 전압:220V",959,682.3,ISO 14001,독일,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어,긴급
192,KE-49394,화학원료,자동차,"규격:248mm, 중량:44kg, 전압:110V",673,485.3,"ISO 9001, IATF",영국,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,낮음
193,KE-58482,공구세트,자동차,"규격:170mm, 중량:22kg, 전압:24V DC",177,491.6,"ISO 9001, CE",일본,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+중국어,긴급
194,KE-50790,의료기기,식품기계,"규격:233mm, 중량:19kg, 전압:110V",4001,541.1,"CE, T?V",스페인,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,긴급
195,KE-57715,스마트 가전,IT,"규격:375mm, 중량:49kg, 전압:110V",1413,522.2,"KC, CE, FCC",말레이시아,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+아랍어,긴급
196,KE-71522,공구세트,의료,"규격:116mm, 중량:46kg, 전압:220V",1896,794.7,ISO 14001,이탈리아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,보통
197,KE-47751,식품가공기계,IT,"규격:245mm, 중량:33kg, 전압:220V",1037,535.1,"ISO 9001, IATF",태국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,낮음
198,KE-16479,디스플레이,전자,"규격:450mm, 중량:5kg, 전압:24V DC",4825,311.2,"ISO 9001, IATF",영국,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,낮음
199,KE-72470,포장재,식품기계,"규격:434mm, 중량:10kg, 전압:110V",1230,178,"KC, UL",일본,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,보통
200,KE-92459,공구세트,섬유,"규격:197mm, 중량:38kg, 전압:110V",1109,145.2,"ISO 9001, CE",프랑스,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,긴급
201,KE-80488,금속 가공품,건축,"규격:283mm, 중량:35kg, 전압:24V DC",1020,404.5,"ISO 9001, CE",터키,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+독일어,긴급
202,KE-89207,화장품,섬유,"규격:130mm, 중량:44kg, 전압:24V DC",1532,5,"FDA, CE",중국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,낮음
203,KE-49735,IT장비,의료,"규격:456mm, 중량:28kg, 전압:110V",259,675.7,"ISO 9001, IATF",호주,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,낮음
204,KE-66287,건축자재,식품기계,"규격:426mm, 중량:26kg, 전압:24V DC",4849,302.2,"ISO 9001, IATF",UAE,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+독일어,긴급
205,KE-20208,화학원료,전자,"규격:148mm, 중량:12kg, 전압:24V DC",4329,468.7,"CE, T?V",인도,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+일어+중국어,보통
206,KE-44774,배터리,의료,"규격:485mm, 중량:45kg, 전압:220V",1671,31.9,ISO 14001,독일,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,낮음
207,KE-54256,플라스틱 부품,섬유,"규격:405mm, 중량:16kg, 전압:220V",2138,401.1,"KC, UL",프랑스,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,높음
208,KE-56518,화학원료,식품기계,"규격:467mm, 중량:15kg, 전압:24V DC",1727,514.8,"CE, RoHS",브라질,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,보통
209,KE-35688,디스플레이,식품기계,"규격:390mm, 중량:20kg, 전압:220V",1130,141.4,"FDA, CE",일본,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어,보통
210,KE-24187,디스플레이,자동차,"규격:226mm, 중량:13kg, 전압:220V",1639,746.2,"CE, T?V",터키,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+독일어,보통
211,KE-58651,공구세트,화학,"규격:429mm, 중량:49kg, 전압:24V DC",1016,557.3,"CE, RoHS",사우디아라비아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,긴급
212,KE-87300,디스플레이,IT,"규격:379mm, 중량:2kg, 전압:220V",2442,334.2,"KC, UL",일본,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+독일어,높음
213,KE-74641,플라스틱 부품,전자,"규격:186mm, 중량:25kg, 전압:24V DC",3691,472.6,"FDA, CE",호주,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+아랍어,낮음
214,KE-74518,산업용 센서,자동차,"규격:244mm, 중량:8kg, 전압:220V",1332,665.8,"KC, CE, FCC",아르헨티나,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+중국어,높음
215,KE-83694,식품가공기계,식품기계,"규격:167mm, 중량:26kg, 전압:24V DC",3266,594.5,"ISO 9001, CE",태국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+스페인어,높음
216,KE-77797,태양광 패널,의료,"규격:129mm, 중량:47kg, 전압:220V",3577,334.2,"ISO 9001, CE",호주,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,낮음
217,KE-20503,LED 조명,전자,"규격:438mm, 중량:50kg, 전압:24V DC",2286,285.4,"KC, CE, FCC",네덜란드,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+프랑스어,긴급
218,KE-58116,배터리,의료,"규격:121mm, 중량:15kg, 전압:24V DC",1280,690.8,"KC, CE, FCC",일본,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+중국어,보통
219,KE-74801,산업용 센서,의료,"규격:287mm, 중량:34kg, 전압:220V",610,499.4,ISO 14001,프랑스,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,긴급
220,KE-37342,배터리,건축,"규격:218mm, 중량:32kg, 전압:220V",833,346.8,"ISO 9001, IATF",터키,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,긴급
221,KE-28782,태양광 패널,식품기계,"규격:172mm, 중량:30kg, 전압:220V",278,537,"FDA, CE",중국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+스페인어,높음
222,KE-81278,건축자재,전자,"규격:363mm, 중량:32kg, 전압:220V",4558,731.5,"KC, UL",베트남,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+스페인어,보통
223,KE-56313,건축자재,의료,"규격:421mm, 중량:5kg, 전압:220V",260,304,"ISO 9001, CE",중국,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,높음
224,KE-93030,섬유/원단,기계,"규격:377mm, 중량:44kg, 전압:220V",1254,139.1,"ISO 9001, IATF",독일,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+아랍어,보통
225,KE-98204,LED 조명,기계,"규격:101mm, 중량:23kg, 전압:24V DC",3635,491.3,"KC, UL",남아프리카,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,낮음
226,KE-13356,금속 가공품,IT,"규격:256mm, 중량:47kg, 전압:110V",1523,409.8,"KC, CE, FCC",싱가포르,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+아랍어,긴급
227,KE-26124,섬유/원단,자동차,"규격:483mm, 중량:4kg, 전압:110V",1531,270.7,"KC, UL",말레이시아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+스페인어,보통
228,KE-61161,산업용 센서,식품기계,"규격:378mm, 중량:7kg, 전압:24V DC",118,483.3,"KC, UL",스페인,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+중국어,긴급
229,KE-48942,IT장비,자동차,"규격:460mm, 중량:21kg, 전압:24V DC",349,673.2,"CE, T?V",중국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어,긴급
230,KE-75993,IT장비,기계,"규격:483mm, 중량:8kg, 전압:110V",3161,794.7,"FDA, CE",중국,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어,낮음
231,KE-35115,플라스틱 부품,자동차,"규격:230mm, 중량:40kg, 전압:220V",1269,177,"ISO 9001, IATF",브라질,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+중국어,낮음
232,KE-73309,의료기기,전자,"규격:315mm, 중량:15kg, 전압:24V DC",4177,348.5,"KC, CE, FCC",멕시코,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+일어+중국어,낮음
233,KE-83838,반도체 부품,의료,"규격:221mm, 중량:22kg, 전압:220V",644,39.3,ISO 14001,프랑스,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+스페인어,보통
234,KE-71051,포장재,IT,"규격:223mm, 중량:48kg, 전압:110V",1514,451.8,"ISO 9001, CE",멕시코,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+아랍어,높음
235,KE-28547,포장재,기계,"규격:113mm, 중량:18kg, 전압:220V",4715,117.4,"CE, RoHS",사우디아라비아,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,긴급
236,KE-25891,전자부품,전자,"규격:181mm, 중량:29kg, 전압:220V",2835,528.7,"CE, RoHS",UAE,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+독일어,낮음
237,KE-33883,플라스틱 부품,섬유,"규격:443mm, 중량:36kg, 전압:110V",4762,237.8,"ISO 9001, CE",싱가포르,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어,낮음
238,KE-10964,IT장비,섬유,"규격:138mm, 중량:16kg, 전압:220V",4264,105.4,"ISO 9001, IATF",스페인,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,높음
239,KE-66633,공구세트,의료,"규격:353mm, 중량:36kg, 전압:24V DC",4778,267.9,ISO 14001,스페인,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,보통
240,KE-55167,배터리,식품기계,"규격:437mm, 중량:25kg, 전압:220V",3750,471.1,"CE, T?V",UAE,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+스페인어,긴급
241,KE-37545,자동차 부품,섬유,"규격:183mm, 중량:36kg, 전압:110V",3273,790,"CE, RoHS",독일,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+일어+중국어,보통
242,KE-40520,디스플레이,화학,"규격:391mm, 중량:32kg, 전압:220V",3228,359,"FDA, CE",남아프리카,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+아랍어,보통
243,KE-93682,섬유/원단,전자,"규격:165mm, 중량:6kg, 전압:24V DC",2775,134.5,"CE, T?V",폴란드,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,낮음
244,KE-44891,반도체 부품,자동차,"규격:236mm, 중량:5kg, 전압:110V",4163,527.3,"ISO 9001, IATF",폴란드,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어,보통
245,KE-63787,산업용 센서,IT,"규격:335mm, 중량:42kg, 전압:24V DC",4458,442.7,"KC, UL",미국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,높음
246,KE-29853,전자부품,자동차,"규격:395mm, 중량:34kg, 전압:110V",4776,238.8,"KC, UL",아르헨티나,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+일어+중국어,높음
247,KE-31076,반도체 부품,기계,"규격:484mm, 중량:41kg, 전압:24V DC",4457,208.2,"CE, RoHS",스페인,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어,긴급
248,KE-88293,화학원료,기계,"규격:323mm, 중량:5kg, 전압:110V",2042,139.1,"ISO 9001, IATF",태국,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+중국어,긴급
249,KE-21354,식품가공기계,전자,"규격:116mm, 중량:40kg, 전압:110V",1082,235.9,"CE, RoHS",영국,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,낮음
